field	missing_count	missing_ratio
cell_id	0	0.0
lon	0	0.0
lat	0	0.0
area_weight	0	0.0
soc_gkg	0	0.0
tn_gkg	0	0.0
cn_ratio	0	0.0
soc_uncert	57990	1.0
tn_uncert	57990	1.0
joint_uncert	57990	1.0
bio1	1	1.724435247456458e-05
bio12	1	1.724435247456458e-05
bio4	1	1.724435247456458e-05
bio15	1	1.724435247456458e-05
kg_class	0	0.0
kg_major	0	0.0
climate_zone	0	0.0
landcover_source	0	0.0
landcover_code	0	0.0
landcover_label	0	0.0
landcover_major	0	0.0
soc_level	0	0.0
tn_level	0	0.0
coupling_class	0	0.0
valid_flag	0	0.0
possible_outlier	0	0.0
